"ID"  "date_added"  "date_ended"  "site"  "value"  "discount"  "sold"  "MerchantID"  "category"
"78"  16953  2010-11-09  2010-11-13  "Weforia"  80  50  66  7227  "Massage"
"79"  37819  2011-01-28  2011-02-02  "Weforia"  150  73  66  25112  "Home Services"
"80"  96925  2011-05-23  2011-05-25  "Yelp"  287  56  20  55325  "Makeup"
"81"  748865  2011-09-19  2011-09-18  "Google Offers"  110  77  96  10332  "Gym"
"82"  813296  2011-09-26  2011-09-28  "Google Offers"  40  70  197  30134  "Comedy Clubs"
"83"  174880  2011-07-18  2011-07-25  "LivingSocial Family Edition"  35  51  138  89478  "Bowling"
"84"  1628771  2011-11-18  2011-11-22  "ACTIVE GearUp"  120  47  36  283046  "Life Skills Classes"
"85"  1196197  2011-10-25  2011-10-27  "Google Offers"  16  50  279  185864  "Restaurants"
"86"  267470  2011-08-15  2011-08-22  "LivingSocial Family Edition"  30  50  148  117270  "Kids"
"87"  130624  2011-06-27  2011-07-04  "LivingSocial Family Edition"  199  85  75  44310  "Kids"
"88"  197736  2011-07-27  2011-07-31  "Weforia"  95  68  70  97678  "Massage"
"89"  9027972  2012-05-31  2012-06-07  "ACTIVE GearUp"  75  50  56  475036  "Outdoor Adventures"
"90"  1177277  2011-10-24  2011-10-25  "Google Offers"  60  50  65  283046  "Life Skills Classes"
"91"  193308  2011-07-25  2011-08-01  "LivingSocial Family Edition"  20  50  193  95917  "Kids"
"92"  1012024  2011-10-13  2011-10-14  "Google Offers"  10  50  373  176084  "Restaurants"
"93"  111261  2011-06-09  2011-06-17  "LevelUp"  85  52  46  16486  "Massage"
"94"  410751  2011-08-29  2011-09-05  "LivingSocial Family Edition"  99  51  37  134975  "Life Skills Classes"
"95"  87921  2011-05-10  2011-05-11  "Yelp"  48  50  75  40875  "Outdoor Adventures"
"96"  80436  2011-04-28  2011-05-03  "Weforia"  200  62  24  43533  "Home Services"
"97"  102333  2011-06-01  2011-06-09  "LevelUp"  20  50  179  57952  "Restaurants"
"98"  38347  2011-01-31  2011-02-05  "Weforia"  22  59  192  25452  "Kids"
"99"  241382  2011-08-08  2011-08-15  "LivingSocial Family Edition"  150  67  34  56325  "Kids"
"100"  101178  2011-05-30  2011-06-06  "LivingSocial Family Edition"  200  66  24  57388  "Kids"
"101"  241566  2011-08-08  2011-08-15  "LivingSocial Family Edition"  110  83  86  35806  "Kids"
"102"  215568  2011-08-01  2011-08-08  "LivingSocial Family Edition"  250  50  13  102508  "Kids"
"103"  1198196  2011-10-25  2011-10-30  "LivingSocial Family Edition"  199  85  56  44310  "Kids"
"104"  18221  2010-11-15  2010-11-20  "Weforia"  40  50  80  14405  "Restaurants"
"105"  12210407  2012-10-27  2012-11-07  "LivingSocial Escapes"  641  59  6  285025  "Travel"
"106"  45276  2011-02-20  2011-02-21  "Weforia"  80  51  40  29502  "Massage"
"107"  110669  2011-06-08  2011-06-12  "Weforia"  20  50  150  62617  "Kids"
"108"  22365  2010-12-04  2010-12-08  "Weforia"  50  50  57  13562  "Hair Salons"
"109"  854441  2011-09-30  2011-10-03  "Google Offers"  60  51  49  4309  "Outdoor Adventures"
"110"  60950  2011-03-28  2011-04-02  "Weforia"  40  52  72  25383  "Home Services"
"111"  103904  2011-06-03  2011-06-11  "LevelUp"  40  50  63  53800  "Skin Care"
"112"  105036  2011-06-06  2011-06-10  "Weforia"  12  50  208  59217  "Dessert"
"113"  1027231  2011-10-14  2011-10-16  "Google Offers"  60  50  41  3519  "Home Services"
"114"  306707  2011-08-22  2011-08-29  "LivingSocial Family Edition"  200  63  16  107175  "Kids"
"115"  1286141  2011-10-30  2011-11-01  "Google Offers"  40  50  60  189659  "Restaurants"
"116"  766749  2011-09-21  2011-09-24  "ACTIVE GearUp"  130  62  24  11123  "Massage"
"117"  8928432  2012-05-24  2012-05-31  "ACTIVE GearUp"  25  52  98  469581  "Outdoor Adventures"
"118"  102182  2011-06-01  2011-06-05  "Weforia"  100  61  30  57875  "Hair Salons"
"119"  1446321  2011-11-08  2011-11-11  "Google Offers"  20  50  116  16867  "Restaurants"
"120"  215776  2011-08-01  2011-08-08  "LivingSocial Family Edition"  26  50  87  102606  "Kids"
"121"  1051768  2011-10-16  2011-10-18  "Google Offers"  40  75  112  177868  "Bars/Lounges"
"122"  54995  2011-03-16  2011-03-19  "Weforia"  10.6  62  278  22984  "Restaurants"
"123"  306755  2011-08-22  2011-08-29  "LivingSocial Family Edition"  20  50  109  47335  "Kids"
"124"  748907  2011-09-19  2011-09-18  "Google Offers"  20  50  109  52377  "Restaurants"
"125"  85997  2011-05-07  2011-05-13  "LevelUp"  20  50  104  49930  "Restaurants"
"126"  234767  2011-08-06  2011-08-10  "Weforia"  45  51  47  95548  "Shows"
"127"  193283  2011-07-25  2011-08-01  "LivingSocial Family Edition"  16  50  128  95903  "Outdoor Adventures"
"128"  48938  2011-03-02  2011-03-05  "Weforia"  36  58  68  15427  "Skiing"
"129"  486626  2011-09-05  2011-09-12  "LivingSocial Family Edition"  26  62  98  142221  "Museums"
"130"  1060983  2011-10-17  2011-10-21  "Weforia"  160  53  13  55009  "Home Services"
"131"  12210491  2012-10-27  2012-11-07  "LivingSocial Escapes"  473  49  4  46782  "Travel"
"132"  129663  2011-06-27  2011-07-01  "Weforia"  150  60  15  17236  "Home Services"
"133"  306764  2011-08-22  2011-08-29  "LivingSocial Family Edition"  40  50  45  75907  "Kids"
"134"  138198  2011-07-04  2011-07-11  "LivingSocial Family Edition"  10  50  177  28441  "Kids"
"135"  56720  2011-03-21  2011-03-23  "Weforia"  28  57  73  35901  "Bowling"
"136"  123120  2011-06-20  2011-06-27  "LivingSocial Family Edition"  40  50  43  69357  "Kids"
"137"  82450  2011-05-02  2011-05-11  "LevelUp"  10  50  170  48043  "Restaurants"
"138"  248142  2011-08-10  2011-08-14  "Weforia"  40  50  42  63300  "Restaurants"
"139"  993590  2011-10-12  2011-10-16  "Weforia"  70  50  24  174608  "Massage"
"140"  748938  2011-09-19  2011-09-18  "Google Offers"  20  50  84  156853  "Restaurants"
"141"  83080  2011-05-03  2011-05-08  "Weforia"  63  50  27  48362  "Hair Salons"
"142"  50286  2011-03-06  2011-03-09  "Weforia"  20  50  83  19163  "Restaurants"
"143"  88019  2011-05-11  2011-05-18  "LevelUp"  150  50  11  50957  "Shows"
"144"  109484  2011-06-08  2011-06-15  "LevelUp"  45  66  55  34957  "Spa"
"145"  180200  2011-07-20  2011-07-24  "Weforia"  74  50  22  91242  "Golf"
"146"  892871  2011-10-03  2011-10-07  "Weforia"  60  50  27  167654  "Tanning"
"147"  747406  2011-09-19  2011-09-26  "LivingSocial Family Edition"  175  72  16  156604  "Kids"
"148"  8176076  2012-04-18  2012-04-24  "Weforia"  175  50  9  439083  "Hair Salons"
"149"  111260  2011-06-09  2011-06-17  "LevelUp"  20  75  150  62903  "Bars/Lounges"
"150"  122975  2011-06-20  2011-06-27  "LivingSocial Family Edition"  200  75  15  69269  "Photography"
"151"  267459  2011-08-15  2011-08-22  "LivingSocial Family Edition"  20  50  72  117263  "Kids"
"152"  682894  2011-09-12  2011-09-13  "ACTIVE GearUp"  20  50  71  85003  "Groceries"
"153"  93771  2011-05-19  2011-05-26  "LevelUp"  175  71  14  6792  "Vision and Eye Care"
"154"  91704  2011-05-16  2011-05-23  "LivingSocial Family Edition"  30  50  46  9426  "Kids"
"155"  88924  2011-05-12  2011-05-20  "LevelUp"  40  37  27  15661  "Life Skills Classes"
"156"  139655  2011-07-06  2011-07-10  "Weforia"  70  50  19  77739  "Yoga"
"157"  1136273  2011-10-21  2011-10-22  "Google Offers"  70  50  19  7924  "Tours"
"158"  305999  2011-08-22  2011-08-23  "ACTIVE GearUp"  100  50  13  75558  "Outdoor Adventures"
"159"  410220  2011-08-29  2011-09-05  "LivingSocial Family Edition"  130  50  10  134884  "Kids"
"160"  42763  2011-02-13  2011-02-16  "Weforia"  49.99  80  65  8643  "Automotive"
"161"  1467831  2011-11-09  2011-11-12  "Google Offers"  30  50  43  198348  "Comedy Clubs"
"162"  226851  2011-08-04  2011-08-06  "ACTIVE GearUp"  80  50  16  7227  "Massage"
"163"  3529402  2012-01-30  2012-02-03  "Weforia"  20  50  63  263531  "Restaurants"
"164"  487440  2011-09-05  2011-09-12  "LivingSocial Family Edition"  28  50  44  142321  "Museums"
"165"  39758  2011-02-04  2011-02-04  "Yelp"  150  50  8  26362  "Women's Clothing"
"166"  3266489  2012-01-18  2012-01-22  "Weforia"  50  50  24  256784  "Hair Salons"
"167"  83599  2011-05-03  2011-05-11  "LevelUp"  30  50  40  199328  "Restaurants"
"168"  138199  2011-07-04  2011-07-11  "LivingSocial Family Edition"  200  50  6  76940  "Kids"
"169"  8368431  2012-04-27  2012-05-03  "Weforia"  227  56  6  20432  "Pets"
"170"  24146  2010-12-11  2010-12-15  "Weforia"  129  62  12  8568  "Teeth Whitening"
"171"  112092  2011-06-10  2011-06-14  "Weforia"  30  50  38  34068  "Restaurants"
"172"  7056223  2012-03-12  2012-03-18  "Weforia"  82  54  15  3209  "Outdoor Adventures"
"173"  99261  2011-05-27  2011-06-01  "LevelUp"  14  50  81  7447  "Restaurants"
"174"  77931  2011-04-25  2011-04-27  "Weforia"  79  55  16  24981  "Massage"
"175"  79039  2011-04-26  2011-04-30  "Weforia"  20  50  56  46305  "Dessert"
"176"  96980  2011-05-23  2011-05-27  "Weforia"  75  53  16  49487  "Massage"
"177"  96180  2011-05-23  2011-05-28  "Weforia"  75  53  16  49487  "Massage"
"178"  10607242  2012-08-14  2012-08-20  "Weforia"  150  83  22  529011  "Life Skills Classes"
"179"  63281  2011-04-01  2011-04-06  "Weforia"  125  52  9  38874  "Facials"
"180"  88021  2011-05-11  2011-05-18  "LevelUp"  20  50  53  50677  "Men's Clothing"
"181"  175053  2011-07-18  2011-07-25  "LivingSocial Family Edition"  135  52  8  23010  "Kids"
"182"  130629  2011-06-27  2011-07-04  "LivingSocial Family Edition"  95  51  11  56119  "Kids"
"183"  79569  2011-04-27  2011-05-02  "Weforia"  65  53  17  44355  "Massage"
"184"  88930  2011-05-12  2011-05-16  "Weforia"  30  50  34  18039  "Restaurants"
"185"  192259  2011-07-25  2011-07-29  "Weforia"  265  74  7  50983  "Boot Camp"
"186"  1868557  2011-12-05  2011-12-09  "Weforia"  10.6  62  121  22984  "Restaurants"
"187"  7211181  2012-03-19  2012-03-25  "Weforia"  70  57  16  214571  "Massage"
"188"  9571851  2012-06-26  2012-07-02  "Weforia"  85  62  15  283128  "Massage"
"189"  810274  2011-09-26  2011-10-01  "Weforia"  349  77  6  109663  "Teeth Whitening"
"190"  117181  2011-06-15  2011-06-19  "Weforia"  20  50  47  23847  "Museums"
"191"  18759  2010-11-17  2010-11-22  "Weforia"  130  50  7  8682  "Hair Salons"
"192"  141273  2011-07-07  2011-07-11  "Weforia"  100  50  9  78609  "Home Services"
"193"  174530  2011-07-18  2011-07-19  "ACTIVE GearUp"  40  50  22  199328  "Restaurants"
"194"  649830  2011-09-08  2011-09-12  "Weforia"  76  62  15  145828  "Personal Trainer"
"195"  481065  2011-09-04  2011-09-06  "ACTIVE GearUp"  30  50  29  141489  "Outdoor Adventures"
"196"  1080454  2011-10-18  2011-10-20  "Google Offers"  10  50  86  179784  "Restaurants"
"197"  1252943  2011-10-28  2011-11-01  "Weforia"  20  50  42  13224  "Restaurants"
"198"  9466555  2012-06-21  2012-06-28  "ACTIVE GearUp"  200  90  21  479803  "Martial Arts"
"199"  45492  2011-02-21  2011-02-23  "Weforia"  32  50  26  29638  "Hair Salons"
"200"  47214  2011-02-25  2011-02-28  "Weforia"  30  50  27  30653  "Restaurants"
"201"  1354172  2011-11-03  2011-11-07  "Weforia"  10  50  81  192900  "Restaurants"
"202"  32515  2011-01-14  2011-01-17  "Weforia"  104  61  10  22129  "Sports Tickets"
"203"  10358518  2012-08-02  2012-08-08  "Weforia"  200  90  20  479803  "Martial Arts"
"204"  86000  2011-05-07  2011-05-15  "LevelUp"  16  50  50  13377  "Dance Classes"
"205"  62318  2011-03-30  2011-04-04  "Weforia"  20  50  39  38343  "Restaurants"
"206"  214651  2011-08-01  2011-08-05  "Weforia"  100  61  10  102081  "Women's Clothing"
"207"  840080  2011-09-29  2011-10-01  "ACTIVE GearUp"  60  50  13  8521  "Outdoor Adventures"
"208"  322431  2011-08-24  2011-08-28  "Weforia"  70  50  11  128253  "Golf"
"209"  7946849  2012-04-09  2012-04-15  "Weforia"  179  80  11  277661  "Home Services"
"210"  4064104  2012-02-22  2012-02-28  "Weforia"  10  50  76  192900  "Restaurants"
"211"  99334  2011-05-27  2011-05-31  "Weforia"  14  50  54  56501  "Restaurants"
"212"  11070464  2012-09-06  2012-09-17  "Go Daily Deals"  85  50  9  265230  "Facials"
"213"  85175  2011-05-06  2011-05-10  "Weforia"  150  50  5  40866  "Fitness Classes"
"214"  3113896  2012-01-11  2012-01-15  "Weforia"  50  50  15  252783  "Kids"
"215"  74502  2011-04-19  2011-04-23  "Weforia"  6.75  70  183  44146  "Restaurants"
"216"  147603  2011-07-08  2011-07-12  "ACTIVE GearUp"  25  48  28  80464  "Sports Tickets"
"217"  1162156  2011-10-23  2011-10-24  "Google Offers"  120  56  7  17554  "Bars/Lounges"
"218"  34458  2011-01-19  2011-01-24  "Weforia"  20  50  36  23210  "Restaurants"
"219"  58835  2011-03-24  2011-03-26  "Weforia"  20  50  36  36595  "Restaurants"
"220"  103710  2011-06-03  2011-06-07  "Weforia"  20  50  36  58601  "Restaurants"
"221"  110899  2011-06-09  2011-06-13  "Weforia"  80  50  9  13981  "Spa"
"222"  126215  2011-06-23  2011-06-27  "Weforia"  60  50  12  71004  "Gym"
"223"  127579  2011-06-24  2011-06-28  "Weforia"  20  50  36  71620  "Restaurants"
"224"  7885182  2012-04-06  2012-04-12  "Weforia"  40  60  22  30134  "Comedy Clubs"
"225"  154967  2011-07-11  2011-07-15  "Weforia"  189  79  9  67316  "Photography"
"226"  46332  2011-02-23  2011-02-26  "Weforia"  14  50  50  30147  "Restaurants"
"227"  87080  2011-05-09  2011-05-14  "Weforia"  150  53  5  14142  "Facials"
"228"  58833  2011-03-24  2011-03-27  "Weforia"  144  52  5  5072  "Shows"
"229"  91993  2011-05-17  2011-05-21  "Weforia"  30  50  23  29516  "Restaurants"
"230"  118840  2011-06-16  2011-06-20  "Weforia"  150  54  5  67137  "Kids"
"231"  9278248  2012-06-11  2012-06-17  "Weforia"  15  53  49  166630  "Tours"
"232"  3581712  2012-02-01  2012-02-05  "Weforia"  198  60  4  69062  "Automotive"
"233"  94739  2011-05-20  2011-05-28  "LevelUp"  16  50  39  28098  "Kids"
"234"  10233833  2012-07-27  2012-08-02  "Weforia"  20  50  31  13224  "Restaurants"
"235"  162930  2011-07-14  2011-07-18  "Weforia"  150  50  4  85604  "Men's Clothing"
"236"  3800601  2012-02-10  2012-02-16  "Weforia"  65  54  10  223518  "Massage"
"237"  93765  2011-05-19  2011-05-22  "Weforia"  199  85  10  40866  "Kids"
"238"  99262  2011-05-27  2011-06-02  "LevelUp"  20  50  29  56475  "Bars/Lounges"
"239"  114226  2011-06-13  2011-06-17  "Weforia"  10  50  56  64487  "Restaurants"
"240"  119863  2011-06-17  2011-06-21  "Weforia"  140  50  4  67683  "Facials"
"241"  124893  2011-06-22  2011-06-26  "Weforia"  90  56  7  24214  "Spa"
"242"  1462561  2011-11-09  2011-11-13  "Weforia"  50  60  14  197780  "Life Skills Classes"
"243"  9844903  2012-07-11  2012-07-17  "Weforia"  75  53  8  256170  "Automotive"
"244"  81922  2011-05-01  2011-05-02  "DealPop"  80  51  7  26161  "Massage"
"245"  1374697  2011-11-04  2011-11-08  "Weforia"  100  61  7  194067  "Hair Salons"
"246"  5995618  2012-03-05  2012-03-11  "Weforia"  75  60  9  9553  "Yoga"
"247"  119356  2011-06-16  2011-06-22  "LevelUp"  20  50  27  67440  "Dance Classes"
"248"  1921508  2011-12-09  2011-12-13  "Weforia"  60  67  13  48690  "Fitness Classes"
"249"  847463  2011-09-29  2011-10-03  "LivingSocial Family Edition"  40  50  13  165685  "Kids"
"250"  1079031  2011-10-18  2011-10-22  "ACTIVE GearUp"  30  40  14  179516  "Tours"
"251"  215805  2011-08-01  2011-08-08  "LivingSocial Family Edition"  24  50  21  67926  "Kids"
"252"  1482143  2011-11-10  2011-11-14  "Weforia"  12  50  41  198753  "Dessert"
"253"  1095540  2011-10-19  2011-10-23  "Weforia"  110  55  5  180639  "Hair Salons"
"254"  1892413  2011-12-07  2011-12-11  "Weforia"  249  80  5  67316  "Photography"
"255"  10628511  2012-08-15  2012-08-21  "Weforia"  175  54  3  487218  "Massage"
"256"  93772  2011-05-19  2011-05-24  "LevelUp"  55  63  12  53868  "Life Skills Classes"
"257"  99260  2011-05-27  2011-06-03  "LevelUp"  125  52  4  56474  "Personal Trainer"
"258"  133915  2011-06-30  2011-07-04  "Weforia"  35  51  14  74872  "Kids"
"259"  16420  2010-11-05  2010-11-08  "Weforia"  6  50  79  13353  "Restaurants"
"260"  89718  2011-05-13  2011-05-18  "Weforia"  79  50  6  9180  "Tanning"
"261"  183455  2011-07-21  2011-07-25  "Weforia"  180  58  3  51086  "Dance Classes"
"262"  776846  2011-09-22  2011-09-27  "Weforia"  90  50  5  126777  "Facials"
"263"  23746  2010-12-09  2010-12-13  "Weforia"  60  50  7  17405  "Life Skills Classes"
"264"  177190  2011-07-19  2011-07-23  "Weforia"  30  50  14  90168  "Home Services"
"265"  115795  2011-06-14  2011-06-21  "LevelUp"  10  50  42  65311  "Bars/Lounges"
"266"  135239  2011-07-01  2011-07-05  "Weforia"  8  50  52  75582  "Dessert"
"267"  18522190  2013-03-06  2013-03-20  "TeamBuy"  2480  93  46  159986  "Waxing"
"268"  12471871  2012-11-07  2012-11-12  "Signpost"  6500  59  5  117358  "Dental"
"269"  441862  2011-08-31  2011-09-04  "Weforia"  60  52  7  56111  "Tanning"
"270"  16471  2010-11-07  2010-11-10  "Weforia"  50  50  8  13381  "Restaurants"
"271"  44293  2011-02-17  2011-02-19  "Weforia"  20  50  20  28956  "Dessert"
"272"  66970  2011-04-08  2011-04-11  "Weforia"  50  50  8  40800  "Hair Salons"
"273"  8471356  2012-05-02  2012-05-08  "Weforia"  125  60  4  85681  "Life Skills Classes"
"274"  90695  2011-05-15  2011-05-21  "LevelUp"  10  50  40  52367  "Home Services"
"275"  683572  2011-09-12  2011-09-19  "LivingSocial Family Edition"  100  50  4  150012  "Kids"
"276"  748728  2011-09-19  2011-09-20  "Google Offers"  20  50  20  156846  "Restaurants"
"277"  3632862  2012-02-03  2012-02-07  "Weforia"  18  50  22  20013  "Bowling"
"278"  8957614  2012-05-26  2012-06-01  "Weforia"  200  51  2  426881  "Life Skills Classes"
"279"  122130  2011-06-20  2011-06-24  "Weforia"  99  51  4  428618  "Automotive"
"280"  907238  2011-10-04  2011-10-10  "LivingSocial Family Edition"  850  94  4  12580  "Kids"
"281"  28625  2010-12-30  2011-01-03  "Weforia"  30  50  13  19991  "Restaurants"
"282"  28004  2010-12-28  2011-01-01  "Weforia"  14  42  24  20013  "Bowling"
"283"  9082031  2012-06-04  2012-06-10  "Weforia"  20  50  19  446175  "Life Skills Classes"
"284"  135414  2011-07-01  2011-07-07  "LevelUp"  10  50  38  13845  "Restaurants"
"285"  231041  2011-08-05  2011-08-09  "Weforia"  12  50  31  107134  "Restaurants"
"286"  96978  2011-05-23  2011-05-24  "Weforia"  20  50  18  592464  "Restaurants"
"287"  94806  2011-05-20  2011-05-25  "Weforia"  20  50  18  592464  "Restaurants"
"288"  131404  2011-06-28  2011-07-02  "Weforia"  90  50  4  73525  "Massage"
"289"  961877  2011-10-10  2011-10-14  "Weforia"  130  54  3  15860  "Hair Salons"
"290"  21177  2010-11-30  2010-12-04  "Weforia"  60  73  11  10034  "Fitness Classes"
"291"  3691476  2012-02-06  2012-02-10  "Weforia"  15  53  25  151731  "Dessert"
"292"  9295541  2012-06-12  2012-06-18  "Weforia"  10  50  35  204787  "Dessert"
"293"  9431514  2012-06-19  2012-06-25  "Weforia"  70  64  7  75693  "Facials"
"294"  102336  2011-06-01  2011-06-09  "LevelUp"  350  50  1  57955  "Teeth Whitening"
